;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
1;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
2;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
3;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
4;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
5;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
6;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
7;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
8;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
9;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0;Dirt/0_0
